Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
131	21	79	754850.65	0	virtual
132	79	28	259908.115	6.976	real
133	14	80	754850.65	0	virtual
134	80	45	670.84	82.693	real
135	20	81	754850.65	0	virtual
136	81	21	15997.99	33.465	real
137	5	82	754850.65	0	virtual
138	82	8	8372.5	42.391	real
139	47	83	754850.65	0	virtual
140	83	48	43302.59	21.475	real
141	5	84	754850.65	0	virtual
142	84	47	8650.119999999999	41.923	real
143	14	85	754850.65	0	virtual
144	85	42	76398.42	15.804	real
145	32	86	754850.65	0	virtual
146	86	38	53233.72	19.305	real
147	15	87	754850.65	0	virtual
148	87	16	3468.93	55.624	real
149	9	88	754850.65	0	virtual
150	88	32	27595.96	26.606	real
151	14	89	754850.65	0	virtual
152	89	45	670.84	82.693	real
153	8	90	754850.65	0	virtual
154	90	36	29766.14	25.708	real
155	43	91	754850.65	0	virtual
156	91	44	62439.97	17.711	real
157	22	92	754850.65	0	virtual
158	92	37	55558.435	18.87	real
159	37	93	754850.65	0	virtual
160	93	38	110755.64	12.622	real
161	26	94	754850.65	0	virtual
162	94	27	14245.54	35.006	real
163	14	95	754850.65	0	virtual
164	95	15	3203.26	56.872	real
165	30	96	754850.65	0	virtual
166	96	38	4040.75	53.256	real
167	6	97	754850.65	0	virtual
168	97	7	1050.835	75.052	real
169	24	98	754850.65	0	virtual
170	98	27	41011.59	22.066	real
171	32	99	754850.65	0	virtual
172	99	39	74101.23999999999	16.085	real
173	5	100	754850.65	0	virtual
174	100	8	8372.5	42.391	real
175	4	101	754850.65	0	virtual
176	101	7	12751.724999999999	36.502	real
177	22	102	754850.65	0	virtual
178	102	37	55558.435	18.87	real
179	14	103	754850.65	0	virtual
180	103	15	3203.26	56.872	real
181	8	104	754850.65	0	virtual
182	104	36	29766.14	25.708	real
183	45	105	754850.65	0	virtual
184	105	47	2115.925	63.488	real
185	18	106	754850.65	0	virtual
186	106	19	7518.674999999999	43.945	real
187	45	107	754850.65	0	virtual
188	107	47	2115.925	63.488	real
189	21	108	754850.65	0	virtual
190	108	28	259908.115	6.976	real
191	11	109	754850.65	0	virtual
192	109	23	10063.745	39.777	real
193	11	110	754850.65	0	virtual
194	110	23	10063.745	39.777	real
195	11	111	754850.65	0	virtual
196	111	23	10063.745	39.777	real
197	8	112	754850.65	0	virtual
198	112	38	3676.175	54.72	real
199	14	113	754850.65	0	virtual
200	113	42	76398.42	15.804	real
201	28	114	754850.65	0	virtual
202	114	29	26908.215	26.908	real
203	8	115	754850.65	0	virtual
204	115	30	13990.920000000002	35.248	real
205	11	116	754850.65	0	virtual
206	116	19	19147.57	31.131	real
207	8	117	754850.65	0	virtual
208	117	31	36088.75	23.487	real
209	18	118	754850.65	0	virtual
210	118	19	7518.674999999999	43.945	real
211	38	119	754850.65	0	virtual
212	119	39	192376.41	8.704	real
213	5	120	754850.65	0	virtual
214	120	8	8372.5	42.391	real
215	8	121	754850.65	0	virtual
216	121	36	29766.14	25.708	real
217	26	122	754850.65	0	virtual
218	122	27	14245.54	35.006	real
219	12	123	754850.65	0	virtual
220	123	30	230836.575	7.624	real
221	32	124	754850.65	0	virtual
222	124	33	754750.65	2.898	real
223	2	125	754850.65	0	virtual
224	125	41	17508.02	32.285	real
225	8	126	754850.65	0	virtual
226	126	36	29766.14	25.708	real
227	40	127	754850.65	0	virtual
228	127	41	8923.59	41.479	real
229	13	128	754850.65	0	virtual
230	128	14	54426.06	19.079	real
231	20	129	754850.65	0	virtual
232	129	21	15997.99	33.465	real
233	13	130	754850.65	0	virtual
234	130	30	10194.585	39.596	real
235	17	131	754850.65	0	virtual
236	131	18	14062.974999999999	35.179	real
237	26	132	754850.65	0	virtual
238	132	29	19398.73	30.965	real
239	40	133	754850.65	0	virtual
240	133	41	8923.59	41.479	real
241	38	134	754850.65	0	virtual
242	134	39	192376.41	8.704	real
243	26	135	754850.65	0	virtual
244	135	29	19398.73	30.965	real
245	8	136	754850.65	0	virtual
246	136	31	36088.75	23.487	real
247	21	137	754850.65	0	virtual
